Ocean_Name,Date_Year,avg_bleaching_pct,num_observations,avg_temperature,avg_ssta,avg_tsa,max_bleaching_pct
Pacific,1999,25.40909090909091,11,300.771,0.009999999999999964,-0.89,75.0
Pacific,2000,52.8448275862069,87,300.27023255813947,0.4443023255813954,-0.5737209302325582,100.0
Pacific,2001,27.270491803278688,61,300.31033333333346,0.07500000000000001,-0.312,100.0
Pacific,2002,26.479859649122808,570,299.2335500878736,0.2506326889279436,-0.548031634446397,100.0
Pacific,2003,1.1895,820,300.4151341463413,-0.12756097560975616,-1.7459756097560986,100.0
Pacific,2004,1.582380038387716,1042,300.44749520153596,-0.005834932821497255,-1.2839827255278318,75.0
Pacific,2005,1.4223284313725488,816,300.1567156862746,0.1062745098039215,-1.1809558823529407,95.0
Pacific,2006,1.7986367634124891,1137,300.5126385224278,0.14217238346525948,-0.8254001759014953,100.0
Pacific,2007,4.146044386422976,766,300.24048366013085,0.4715424836601305,-0.6112549019607844,92.5
Pacific,2008,3.431917293233083,1064,299.66438909774445,0.2515507518796992,-1.0402067669172927,99.0
Pacific,2009,4.08603112840467,1028,300.30170233463036,0.25298638132295703,-1.087889105058366,75.0
Pacific,2010,7.679956474428727,919,299.94450489662694,0.5414036996735582,-0.7070184983677914,96.5
Pacific,2011,1.320844155844156,616,299.9873376623376,0.05636363636363637,-1.228344155844155,75.0
Pacific,2012,0.7279005524861878,724,300.64009668508277,0.19877071823204412,-1.0233563535911598,36.25
Pacific,2013,4.223700934579439,1070,300.9349439252339,0.41607476635514007,-0.8217383177570095,75.0
Pacific,2014,3.338584474885845,876,300.8368150684932,0.37065068493150716,-0.9415867579908676,100.0
Pacific,2015,2.612526539278132,942,300.9917197452226,0.34300424628450127,-0.8094798301486199,75.0
Pacific,2016,10.868043844856661,1186,300.6910202360875,0.5717706576728495,-0.43256323777403033,95.0
Pacific,2017,3.016156462585034,1176,300.9484693877551,0.22044217687074827,-0.9151020408163272,95.5
Pacific,2018,0.7085526315789474,912,301.43070175438544,0.0015350877192982265,-0.996052631578947,60.0
Pacific,2019,3.874049773755656,884,301.41651583710365,0.13324200913241993,-0.766438356164383,100.0
Pacific,2020,3.7023809523809526,84,,,,35.0
Red Sea,1998,48.3,5,300.354,0.642,0.028000000000000046,75.0
Red Sea,2003,0.03125,16,297.99000000000007,0.6125,-1.1,0.25
Red Sea,2004,0.03333333333333333,90,298.6214444444443,0.18700000000000006,-2.7035555555555555,0.5
Red Sea,2005,0.09859154929577464,71,298.54619718309857,0.2666197183098591,-1.762112676056338,1.75
Red Sea,2006,0.4166666666666667,30,297.5693333333334,0.7333333333333333,-0.6139999999999998,1.0
Red Sea,2007,0.0,46,297.8726086956521,0.8386956521739132,-0.03217391304347842,0.0
Red Sea,2008,0.4528260869565217,92,298.732,0.14377777777777778,-2.6639999999999993,10.0
Red Sea,2009,0.6623931623931624,117,298.5805982905982,0.4510256410256411,-2.5798290598290605,25.0
Red Sea,2010,1.5416666666666667,60,297.71333333333314,1.6406666666666672,-0.591333333333333,75.0
Red Sea,2011,0.0,77,297.41636363636337,0.40064935064935064,-1.6332467532467532,0.0
Red Sea,2012,0.9242424242424242,66,298.0260606060605,0.2866666666666666,-3.0921212121212114,10.75
Red Sea,2013,0.0,68,297.67088235294113,0.3388235294117648,-2.9367647058823545,0.0
Red Sea,2014,0.6764705882352942,68,297.5199999999999,0.5897058823529413,-4.355294117647059,8.75
Red Sea,2015,0.025,60,297.55833333333305,-0.2696666666666665,-2.597999999999999,0.75
Red Sea,2016,4.444444444444445,18,297.04,-0.10111111111111111,-0.22666666666666668,25.0
Red Sea,2017,0.0,32,298.3862499999999,0.3825000000000001,-3.8837500000000023,0.0
Red Sea,2018,0.125,60,297.66200000000003,1.2893333333333337,-0.4963333333333333,1.75
Red Sea,2019,0.30405405405405406,74,297.5478378378381,0.7373529411764708,-0.6288235294117648,5.5
Red Sea,2020,0.375,4,,,,0.75
